Channel1,Channel2,Auto Threshold B,Pearson's Coefficient,Thresholded M1,Thresholded M2,Prot1,Prot2,Sample,Rep,Area A,Area B
C2-REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.85,0.101,0.002,CLCN3,TMEM9,well1,3,120.615,0.934
C2-REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.928,0.788,0.942,CLCN3,TMEM9,well1,3,254.569,328.578
C2-REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.888,0.843,0.547,CLCN3,TMEM9,well1,3,100.483,56.607
C2-REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP3-fixed--CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.95,0.992,0.775,CLCN3,TMEM9,well1,3,135.306,92.473
C2-REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.966,0.871,0.875,CLCN3,TMEM9,well1,3,117.514,117.992
C2-REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.973,0.965,0.808,CLCN3,TMEM9,well1,3,142.585,110.619
C2-REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.968,0.957,0.932,CLCN3,TMEM9,well1,3,143.092,137.346
C2-REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.954,0.935,0.849,CLCN3,TMEM9,well1,3,181.498,160.301
C2-REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.947,0.971,0.84,CLCN3,TMEM9,well1,3,153.296,121.443
C2-REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.937,0.895,0.879,CLCN3,TMEM9,well1,3,88.332,86.444
C2-REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.949,0.94,0.839,CLCN3,TMEM9,well1,3,120.831,101.117
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.966,0.968,0.477,TMEM9,CLCN3,well1,2,12.126,28.282
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.973,0.893,0.971,TMEM9,CLCN3,well1,2,105.912,92.443
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.976,0.953,0.956,TMEM9,CLCN3,well1,2,171.894,171.683
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.933,0.873,0.869,TMEM9,CLCN3,well1,2,137.634,137.646
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.932,0.857,0.893,TMEM9,CLCN3,well1,2,60.815,56.687
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.963,0.999,0.294,TMEM9,CLCN3,well1,2,23.499,112.74
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.937,0.424,0.969,TMEM9,CLCN3,well1,2,55.762,20.005
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.96,0.868,0.896,TMEM9,CLCN3,well1,2,301.264,290.105
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.951,0.789,0.994,TMEM9,CLCN3,well1,2,413.171,287.706
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.946,0.92,0.866,TMEM9,CLCN3,well1,2,100.31,109.267
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.932,0.009,0.282,TMEM9,CLCN3,well1,2,161.602,2.822
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.97,0.06,1,TMEM9,CLCN3,well1,2,166.723,4.449
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.974,0.862,0.967,TMEM9,CLCN3,well1,2,193.04,162.586
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.934,0.791,0.99,TMEM9,CLCN3,well1,2,253.923,180.644
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.946,0.899,0.956,TMEM9,CLCN3,well1,2,107.721,97.999
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.509,0.145,0.243,TMEM9,EEA1,well1,2,12.126,7.989
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.648,0.17,0.976,TMEM9,EEA1,well1,2,105.912,14.918
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.598,0.097,0.928,TMEM9,EEA1,well1,2,171.894,14.737
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.56,0.169,0.94,TMEM9,EEA1,well1,2,137.634,20.964
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.655,0.539,0.973,TMEM9,EEA1,well1,2,60.815,28.751
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.366,0.024,0.343,TMEM9,EEA1,well1,2,23.499,1.703
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.395,0.051,0.426,TMEM9,EEA1,well1,2,55.762,6.025
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.481,0.006,0.186,TMEM9,LAMP1,well1,2,301.264,7.922
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.22,0,0,TMEM9,LAMP1,well1,2,413.171,6.84
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.453,0.002,0.08,TMEM9,LAMP1,well1,2,100.31,3.076
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.39,8.57E-05,0.015,TMEM9,LAMP1,well1,2,161.602,0.697
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.37,0.008,0.497,TMEM9,LAMP1,well1,2,166.723,2.467
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.451,0.001,0.571,TMEM9,LAMP1,well1,2,193.04,0.583
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.573,0.489,0.469,TMEM9,LAMP1,well1,2,253.923,255.139
C2-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.273,0,0,TMEM9,LAMP1,well1,2,107.721,1.014
C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.518,0.127,0.439,CLCN3,EEA1,well1,2,28.282,7.989
C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.689,0.199,0.979,CLCN3,EEA1,well1,2,92.443,14.918
C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.642,0.105,0.938,CLCN3,EEA1,well1,2,171.683,14.737
C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.584,0.175,0.952,CLCN3,EEA1,well1,2,137.646,20.964
C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.694,0.564,0.97,CLCN3,EEA1,well1,2,56.687,28.751
C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.393,0.014,0.709,CLCN3,EEA1,well1,2,112.74,1.703
C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.415,0.084,0.264,CLCN3,EEA1,well1,2,20.005,6.025
C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.5,0.006,0.201,CLCN3,LAMP1,well1,2,290.105,7.922
C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.214,0,0,CLCN3,LAMP1,well1,2,287.706,6.84
C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.445,0.002,0.078,CLCN3,LAMP1,well1,2,109.267,3.076
C3-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.376,0,0,CLCN3,LAMP1,well1,2,2.822,0.697
