Channel1,Channel2,Auto Threshold B,Pearson's Coefficient,Thresholded M1,Thresholded M2,Prot1,Prot2,Sample,Rep,Area A,Area B
C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.313,7.91E-05,0.01,CLCN3,LAMP1,well3,3,77.478,0.773
C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.624,0.109,0.708,CLCN3,LAMP1,well3,3,167.994,25.578
C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.353,0.018,0.362,CLCN3,LAMP1,well3,3,50.713,2.451
C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.383,0.002,0.03,CLCN3,LAMP1,well3,3,69.37,3.503
C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.519,0.002,0.28,CLCN3,LAMP1,well3,3,180.691,1.458
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.948,0.947,0.651,CLCN3,TMEM9,well3,3,111.426,66.992
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.969,0.942,0.931,CLCN3,TMEM9,well3,3,141.491,139.07
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.879,0.818,0.702,CLCN3,TMEM9,well3,3,91.86,73.638
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.971,0.965,0.88,CLCN3,TMEM9,well3,3,122.914,106.711
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.961,0.871,0.924,CLCN3,TMEM9,well3,3,355.192,390.153
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.887,0.886,0.907,CLCN3,TMEM9,well3,3,112.609,117.54
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.915,0.921,0.855,CLCN3,TMEM9,well3,3,452.865,407.641
